"Date","Price","Open","High","Low","Vol.","Change %"
"02/18/2024","75.50","78.80","79.50","75.00","30.20K","-4.19%"
"02/11/2024","78.80","78.50","79.30","77.00","96.36K","0.38%"
"02/04/2024","78.50","75.00","79.80","75.00","99.61K","2.08%"
"01/28/2024","76.90","73.00","76.90","71.80","362.00K","4.20%"
"01/21/2024","73.80","75.00","75.00","71.90","88.59K","-1.60%"
"01/14/2024","75.00","77.00","77.90","72.00","214.54K","-2.72%"
"01/07/2024","77.10","79.00","79.50","76.90","273.72K","-2.41%"
"12/31/2023","79.00","79.80","79.80","78.00","139.19K","-1.00%"
"12/24/2023","79.80","78.60","79.90","78.60","45.02K","1.53%"
"12/17/2023","78.60","82.20","82.20","78.00","153.77K","-3.56%"
"12/10/2023","81.50","82.40","84.00","80.60","32.07K","-1.81%"
"12/03/2023","83.00","82.80","84.50","80.00","201.03K","-1.19%"
"11/26/2023","84.00","78.00","84.00","75.40","296.37K","8.39%"
"11/19/2023","77.50","80.00","80.00","76.50","245.29K","-1.40%"
"11/12/2023","78.60","85.90","86.00","78.50","222.92K","-7.53%"
"11/05/2023","85.00","82.00","88.00","81.00","532.10K","3.53%"
"10/29/2023","82.10","81.90","85.00","80.00","300.03K","0.24%"
"10/22/2023","81.90","84.50","86.90","79.80","250.50K","-2.85%"
"10/15/2023","84.30","81.10","84.30","76.40","221.66K","1.57%"
"10/08/2023","83.00","81.10","83.90","78.00","281.22K","-0.48%"
"10/01/2023","83.40","85.50","86.80","80.00","421.74K","-3.58%"
"09/24/2023","86.50","86.10","87.20","85.00","1.50M","0.00%"
"09/17/2023","86.50","90.10","90.10","85.20","435.57K","-4.10%"
"09/10/2023","90.20","91.10","92.80","88.50","568.00K","-0.88%"
"09/03/2023","91.00","88.20","95.50","88.20","1.88M","2.71%"
"08/27/2023","88.60","86.50","92.00","86.00","1.54M","0.68%"
"08/20/2023","88.00","92.50","92.50","85.00","2.88M","-4.86%"
"08/13/2023","92.50","88.00","95.50","81.00","7.89M","5.11%"
"08/06/2023","88.00","86.00","89.00","83.10","4.47M","3.04%"
"07/30/2023","85.40","80.10","90.90","79.00","10.43M","6.48%"
"07/23/2023","80.20","76.00","81.30","73.00","3.05M","6.08%"
"07/16/2023","75.60","55.90","80.00","55.50","14.16M","36.22%"
"07/09/2023","55.50","55.00","57.80","53.80","2.44M","0.91%"
"07/02/2023","55.00","50.00","57.10","50.00","4.07M","17.52%"
"06/25/2023","46.80","44.90","47.50","42.50","183.44K","4.00%"
"06/18/2023","45.00","46.00","46.00","43.20","72.97K","-2.17%"
"06/11/2023","46.00","42.90","46.00","42.00","545.37K","9.52%"
"06/04/2023","42.00","41.00","42.00","39.10","66.29K","0.00%"
"05/28/2023","42.00","40.00","42.00","38.10","19.50K","3.70%"
"05/21/2023","40.50","39.50","40.50","37.60","41.00K","1.25%"
"05/14/2023","40.00","43.90","44.50","39.50","23.56K","-11.11%"
"05/07/2023","45.00","39.00","45.00","39.00","45.73K","15.38%"
"04/30/2023","39.00","40.00","40.10","38.10","29.87K","-6.92%"
"04/23/2023","41.90","44.00","44.00","40.00","26.92K","-4.34%"
"04/16/2023","43.80","42.90","45.00","42.90","198.04K","-2.67%"
"04/09/2023","45.00","42.10","45.00","40.50","32.88K","5.63%"
"04/02/2023","42.60","42.80","45.00","42.10","6.88K","-3.18%"
"03/26/2023","44.00","43.00","47.00","42.00","80.19K","0.00%"
"03/19/2023","44.00","47.00","47.50","44.00","427.32K","-8.14%"
"03/12/2023","47.90","46.90","47.90","43.50","193.27K","2.13%"
"03/05/2023","46.90","48.00","49.00","45.00","418.92K","-0.21%"
"02/26/2023","47.00","44.50","47.00","42.50","93.70K","8.25%"
